# Reviewed meanings for the root words used in Wortaufbau (js/word-parts.js): word <TAB> English <TAB> Tamil
# English: the everyday main sense (replaces Ding's automatically chosen gloss, which was sometimes a side sense).
# Tamil: translated with AI assistance (Claude) and reviewed for this app; shown with a note on every page.
# Checked by scripts/build_word_parts.py — every root used as a part must have a line here.
Abend	evening	மாலை
suchen	to look for, to search	தேடு
Sucht	addiction	போதைப் பழக்கம்
super	great	அருமையான
Säule	pillar, column	தூண்
Tafel	board; bar (of chocolate)	பலகை
Tag	day	நாள்
Takt	beat, rhythm; tact	தாளம் / நாசூக்கு
tanzen	to dance	நடனமாடு
Tarif	tariff, rate	கட்டண விகிதம்
Tasche	bag; pocket	பை
Tat	deed, act	செயல்
tauchen	to dive	நீரில் மூழ்கு
taugen	to be good for	பயன்படு
tauschen	to exchange, to swap	மாற்று / பரிமாறு
Team	team	அணி
Teamleiter	team leader	அணித் தலைவர்
Teil	part	பகுதி
teilen	to share, to divide	பகிர் / பிரி
Telefon	telephone	தொலைபேசி
Theke	counter	கவுண்டர்
Theorie	theory	கோட்பாடு
Tier	animal	விலங்கு
Tisch	table	மேசை
Ton	sound, tone; clay	ஒலி / களிமண்
trachten	to strive	முயல்
Tradition	tradition	பாரம்பரியம்
tragen	to carry; to wear	சுமந்து செல் / அணி
trauen	to trust; to marry	நம்பு / திருமணம் செய்துவை
Traum	dream	கனவு
treffen	to meet; to hit	சந்தி / தாக்கு
treiben	to drive, to push; to do (sport)	செலுத்து / தள்ளு / ஈடுபடு
treten	to step; to kick	அடியெடுத்து வை / உதை
trinken	to drink	குடி
Tritt	step; kick	அடி / உதை
Tuch	cloth	துணி
tun	to do	செய்
Täter	offender	குற்றவாளி
täuschen	to deceive	ஏமாற்று
tüchtig	capable, hard-working	திறமையான
Ufer	shore, bank	கரை
Umzug	move (house); parade	வீடு மாற்றம் / ஊர்வலம்
Umwelt	environment	சுற்றுச்சூழல்
Unschuld	innocence	குற்றமின்மை
Unterschied	difference	வேறுபாடு
unterwegs	on the way	வழியில்
Urteil	judgement, verdict	தீர்ப்பு
urteilen	to judge	தீர்ப்பளி
Vakuum	vacuum	வெற்றிடம்
Vater	father	தந்தை
veranstalten	to organise (an event)	நடத்து / ஏற்பாடு செய்
verbindung	connection	இணைப்பு
Verbindung	connection	இணைப்பு
Verbrauch	consumption	நுகர்வு
Verdacht	suspicion	சந்தேகம்
Verein	club, association	சங்கம்
Verfahren	procedure	நடைமுறை
vergangen	past	கடந்த
vergessen	to forget	மறந்துவிடு
Verhalten	behaviour	நடத்தை
Verkehr	traffic	போக்குவரத்து
Verlass	reliance	நம்பகத்தன்மை
verliebt	in love	காதலில் விழுந்த
vermehren	to increase, to multiply	பெருக்கு
Vermögen	wealth, assets	சொத்து
vernichten	to destroy	அழி
Vernunft	reason, good sense	அறிவு / பகுத்தறிவு
verpflichten	to oblige, to commit	கடமைப்படுத்து
verschlechtern	to make worse	மோசமாக்கு
verschwenden	to waste	வீணாக்கு
Verstand	mind, intellect	அறிவு
Verstoß	violation	மீறல்
Vertrag	contract	ஒப்பந்தம்
verunsichern	to unsettle	குழப்பு / நம்பிக்கை இழக்கச் செய்
verwunden	to wound	காயப்படுத்து
Video	video	காணொளி
vielseitig	versatile	பல்திறன் கொண்ட
Volk	people, nation	மக்கள் / இனம்
voll	full	நிறைந்த
vollziehen	to carry out	நிறைவேற்று
von	from, of (fixed preposition)	இருந்து (நிலையான முன்னிடைச்சொல்)
Waage	scales	தராசு
wachen	to be awake, to watch	விழித்திரு / காவல் கா
wachsen	to grow	வளர்
Waffe	weapon	ஆயுதம்
Wahl	election; choice	தேர்தல் / தேர்வு
wahr	true	உண்மையான
Wandel	change	மாற்றம்
wandeln	to change	மாற்று
wandern	to hike	நடைபயணம் செல்
Wanne	tub	தொட்டி
warten	to wait	காத்திரு
Wasser	water	தண்ணீர்
wechseln	to change, to exchange	மாற்று
Weg	way, path	வழி / பாதை
Weh	pain, ache	வலி
weh	sore, painful (weh tun = to hurt)	வலிக்கும்
weichen	to give way; to soften	விலகு
weigern	to refuse	மறு
weihen	to consecrate	அர்ப்பணி
weinen	to cry	அழு
weise	wise	ஞானமுள்ள
weisen	to show, to point	காட்டு / சுட்டு
weit	far; wide	தொலைவான / அகலமான
weiten	to widen	விரிவாக்கு
Welle	wave	அலை
Welt	world	உலகம்
Wende	turn, turning point	திருப்பம்
wenden	to turn	திருப்பு
werben	to advertise; to recruit	விளம்பரம் செய் / சேர்த்துக்கொள்
werden	to become	ஆகு
werfen	to throw	எறி
Werk	work; plant, factory	படைப்பு / தொழிற்சாலை
wert	worth	மதிப்புள்ள
Wert	value	மதிப்பு
werten	to rate, to evaluate	மதிப்பிடு
Wesen	being; nature, essence	உயிரினம் / இயல்பு
Wettbewerb	competition	போட்டி
wetten	to bet	பந்தயம் கட்டு
Wetter	weather	வானிலை
wickeln	to wrap, to wind	சுற்று
Widerspruch	contradiction, objection	முரண்பாடு / ஆட்சேபனை
wiegen	to weigh	எடை போடு
Wind	wind	காற்று
winden	to wind, to twist	சுற்று
Winkel	angle; corner	கோணம் / மூலை
wirken	to have an effect; to seem	விளைவை ஏற்படுத்து / தோன்று
Wirt	host; landlord	உரிமையாளர் / விடுதிக்காரர்
Wissen	knowledge	அறிவு
wohl	well	நலமாக
wohnen	to live, to reside	வசி
wollen	to want	விரும்பு / வேண்டும்
wundern	to wonder, to be surprised	ஆச்சரியப்படு
Wunsch	wish	விருப்பம்
Wurf	throw	எறிதல்
währen	to last	நீடி
wärmen	to warm	சூடாக்கு
wühlen	to rummage, to dig	கிளறு
Würde	dignity	கண்ணியம்
wüten	to rage	சீறு
Zahl	number	எண்
zahlen	to pay	பணம் செலுத்து
Zahn	tooth	பல்
Zeichen	sign	அடையாளம்
zeichnen	to draw	வரை
Zeile	line (of text)	வரி
Zeit	time	நேரம் / காலம்
Zentrum	centre	மையம்
Zeug	stuff, things	பொருட்கள்
zeugen	to testify; to father	சாட்சி சொல் / பிள்ளை பெறு
ziehen	to pull; to move	இழு / குடிபெயர்
Ziel	goal, destination	இலக்கு
Ziffer	digit	இலக்கம்
Zimmer	room	அறை
Zone	zone	மண்டலம்
zu	to; closed (fixed preposition)	க்கு (நிலையான முன்னிடைச்சொல்)
zufrieden	satisfied	திருப்தியான
Zug	train; pull; move	ரயில் / இழுப்பு
Zukunft	future	எதிர்காலம்
zumuten	to expect (too much) of	அதிகம் எதிர்பார்
zusammen	together	ஒன்றாக
zweifeln	to doubt	சந்தேகப்படு
zwingen	to force	கட்டாயப்படுத்து
zählen	to count	எண்ணு
zähligen	countable (zählig)	எண்ணக்கூடிய
zünden	to ignite	பற்றவை
ändern	to change	மாற்று
Ärger	anger; trouble	கோபம் / தொல்லை
äußern	to express	வெளிப்படுத்து
übel	bad; nauseous	மோசமான / குமட்டலான
über	about, over (fixed preposition)	பற்றி / மேல் (நிலையான முன்னிடைச்சொல்)
übereinstimmen	to agree, to match	ஒத்துப்போ
überschwemmen	to flood	வெள்ளத்தில் மூழ்கடி
Akte	file, record	கோப்பு
sitzen	to sit	உட்கார்
Karfreitag	Good Friday	புனித வெள்ளி
Geschick	skill; fate	திறமை / விதி
Verständnis	understanding	புரிதல்
